Hanzi	Meaning	Notes
安	peaceful	ān
宴	banquet	yàn
寄	mail	jì
富	wealthy	fù
贮	store up	zhù
木	tree	mù
林	woods	lín
森	forest	sēn
植	plant	zhí
杏	apricot	xìng
呆	dim-witted	dāi
枯	withered	kū
村	village	cūn
相	one another	xiāng
本	notebook	běn
案	case	àn
未	not yet	wèi
末	last	mò
沫	foam	mò
味	flavor	wèi
妹	younger sister	mèi
查	investigate	chá
渣	sediment	zhā
染	dye	rǎn
李	plum	lǐ
桌	table	zhuō
若	as if	ruò
草	grass	cǎo
苦	suffering	kǔ
宽	wide	kuān
叶	leaf	yè
莫	nobody	mò
模	imitate	mó
漠	desert	mò
墓	grave	mù
苗	seedling	miáo
瞄	aim	miáo
兆	portent	zhào
桃	peach	táo
犬	pooch	quǎn
尤	remarkable	yóu
默	silent	mò
然	sort of thing	rán
哭	cry	kū
器	utensil	qì
臭	stinking	chòu
狗	dog	gǒu
厌	detest	yàn
压	pressure	yā
牛	cow	niú
特	special	tè
告	declare	gào
浩	vast	hào
先	before	xiān
洗	wash	xǐ
介	introduce	jiè
界	world	jiè
茶	tea	chá
会	meeting	huì
合	fit	hé
哈	ha!	hā
塔	pagoda	tǎ
王	king	wáng
玉	jade	yù
球	ball	qiú
现	present	xiàn
玩	play	wán
狂	crazy	kuáng
皇	emperor	huáng
煌	resplendent	huáng
呈	submit	chéng
全	whole	quán
理	logic	lǐ
主	lord	zhǔ
注	pour	zhù
金	gold	jīn
铜	copper	tóng
钓	go fishin'	diào
针	needle	zhēn
钉	nail	dīng
铭	inscription	míng
镇	at ease	zhèn
道	way	dào
导	guide	dǎo
迅	speedy	xùn
造	create	zào
巡	patrol	xún
逛	stroll	guàng
车	car	chē
连	one after another	lián
莲	lotus	lián
前	in front	qián
剪	shears	jiǎn
输	transport	shū
逾	exceed	yú
各	each	gè
格	pattern	gé
客	guest	kè
额	forehead	é
夏	summer	xià
洛	L.A.	luò
落	fall	luò
冗	superfluous	rǒng
沉	profound	chén
军	army	jūn
辉	radiance	huī
运	carry	yùn
冠	crown	guān
梦	dream	mèng
坑	pit	kēng
高	tall	gāo
享	enjoy	xiǎng
熟	ripe	shú
亭	pavilion	tíng
亮	shiny	liàng
京	capital	jīng
凉	cool	liáng
景	scenery	jǐng
就	at once	jiù
周	circumference	zhōu
周		zhōu
士	soldier	shì
吉	lucky	jí
买	buy	mǎi
卖	sell	mài
书	book	shū
画	drawing	huà
划	scratch	huà
攻	attack	gōng
败	fail	bài
故	deliberately	gù
救	rescue	jiù
敬	revere	jìng
敞	spacious	chǎng
言	say	yán
警	police	jǐng
计	plan	jì
狱	prison	yù
讨	condemn	tǎo
训	instruction	xùn
话	talk	huà
诗	poem	shī
语	language	yǔ
读	read	dú
调	tune	diào
谈	discuss	tán
这	this	zhè
式	style	shì
试	test	shì
戈	halberd	gē
或	or	huò
贼	burglar	zéi
载	laden	zài
铁	iron	tiě
茂	lush	mào
成	turn into	chéng
城	city	chéng
诚	sincere	chéng
威	might	wēi
灭	destroy	miè
咸		xián
减	reduce	jiǎn
单	list	dān
战	war	zhàn
钱	coin	qián
浅	shallow	qiǎn
贱	cheap	jiàn
止	stop	zhǐ
步	footstep	bù
涉	ford	shè
频	repeatedly	pín
肯	agree	kěn
企	look forward to	qǐ
岁	years of age	suì
武	military	wǔ
赋	levy	fù
正	correct	zhèng
政	politics	zhèng
定	settle on	dìng
走	walk	zǒu
超	transcend	chāo
越	surpass	yuè
是	be	shì
题	topic	tí
